row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,product_id,product_name,quantity,sales_amount
1,ORD2309,25-04-2023,26-04-2023,Second Class,CUST1914,,Home Office,Germany,Pune,P1005,Headphones,10,2138.51
2,ORD1061,06-04-2023,10-04-2023,Standard Class,CUST3298,Sarah Taylor,Corporate,USA,Berlin,P1004,Monitor,10,1427.04
3,ORD1013,16-02-2025,19-02-2025,First Class,CUST2138,Michael Davis,Corporate,India,Pune,P1007,Router,7,528.75
4,ORD1704,10-09-2024,15-09-2024,Same Day,CUST3196,Jane Sharma,Consumer,Germany,New York,P1001,Laptop,10,4432.99
5,ORD1740,14-08-2024,18-08-2024,Standard Class,CUST1933,Chris Wilson,Consumer,USA,Pune,P1002,Keyboard,7,1425.97
6,ORD2301,04-05-2025,10-05-2025,First Class,CUST2455,Sarah Wilson,Home Office,India,Delhi,P1003,Mouse,9,3659.18
7,ORD1334,18-04-2024,25-04-2024,Second Class,CUST2328,Daniel Smith,Consumer,India,London,P1005,Headphones,7,1375.32
8,ORD1432,03-08-2024,09-08-2024,Same Day,CUST2620,Olivia Gupta,Consumer,UK,Delhi,P1004,Monitor,4,3737.7
9,ORD2103,27-09-2023,07-10-2023,Same Day,CUST2482,Sarah Brown,Home Office,Canada,Pune,P1007,Router,1,4312.46
10,ORD1313,04-10-2024,07-10-2024,Standard Class,CUST2576,Robert Miller,Corporate,Germany,New York,P1007,Router,9,4310.86
11,ORD1023,27-11-2024,29-11-2024,First Class,CUST1456,David Sharma,Consumer,Canada,Mumbai,P1005,Headphones,5,4860.85
12,ORD1365,03-06-2024,05-06-2024,Second Class,CUST1626,Emily Brown,Home Office,Germany,Mumbai,P1005,Headphones,10,1654.57
13,ORD1039,25-04-2023,01-05-2023,Second Class,CUST1237,Sarah Miller,Consumer,India,Berlin,P1005,Headphones,2,4891.02
14,ORD2090,23-02-2025,26-02-2025,Same Day,CUST3251,Michael Wilson,Home Office,Germany,Toronto,P1003,Mouse,4,4648.12
15,ORD2494,07-12-2024,11-12-2024,Same Day,CUST2529,Priya Taylor,Corporate,India,Bangalore,P1005,Headphones,4,366.93
16,ORD1043,25-08-2024,03-09-2024,Second Class,CUST1029,Jane Smith,Consumer,India,Mumbai,P1004,Monitor,6,400.74
17,ORD1487,13-10-2023,21-10-2023,Invalid Mode,CUST3338,Rahul Gupta,Consumer,Canada,Toronto,P1004,Monitor,4,516.91
18,ORD2349,17-03-2024,23-03-2024,Same Day,CUST2912,Daniel Smith,Home Office,India,Mumbai,P1007,Router,7,3654.66
19,ORD1223,12-09-2023,16-09-2023,Same Day,CUST1574,Robert Brown,Corporate,Canada,Bangalore,P1004,Monitor,2,2243.5
20,ORD2127,11-04-2023,12-04-2023,Standard Class,CUST1968,Michael Sharma,Corporate,Canada,Bangalore,P1001,Laptop,7,4517.09
21,ORD1337,24-01-2024,25-01-2024,First Class,CUST2863,David Sharma,Home Office,Germany,Berlin,P1007,Router,3,989.99
22,ORD1445,01-03-2023,11-03-2023,First Class,CUST1234,John Miller,Corporate,Germany,Delhi,P1001,Laptop,1,4805.86
23,ORD1164,21-05-2025,24-05-2025,Standard Class,CUST1963,Robert Johnson,Home Office,USA,Mumbai,P1002,Keyboard,10,455.82
24,ORD2346,20-08-2024,30-08-2024,First Class,CUST1836,Sneha Patel,Consumer,UK,Toronto,P1006,Printer,3,3374.87
25,ORD1614,13-04-2024,19-04-2024,Standard Class,CUST2877,Rahul Miller,Consumer,India,Bangalore,P1002,Keyboard,9,1362.74
26,ORD1714,12-03-2023,16-03-2023,First Class,CUST1646,Priya Taylor,Home Office,UK,Mumbai,P1006,Printer,9,1531.92
27,ORD2358,17-04-2023,20-04-2023,Standard Class,CUST1438,Anjali Taylor,Consumer,UK,New York,P1005,Headphones,10,1092.62
28,ORD1702,28-07-2023,02-08-2023,First Class,CUST1208,Jane Sharma,Corporate,India,Mumbai,P1008,SSD,6,3867.04
29,ORD2304,26-09-2023,29-09-2023,Same Day,CUST3297,John Johnson,Consumer,USA,Mumbai,P1008,SSD,6,2933.42
30,ORD1303,16-03-2024,19-03-2024,First Class,CUST2493,Olivia Smith,Corporate,USA,Bangalore,P1001,Laptop,2,1800.71
31,ORD2146,14-06-2025,21-06-2025,Second Class,CUST1665,Chris Brown,Corporate,India,Delhi,P1003,Mouse,6,3922.81
32,ORD1843,31-12-2099,05-04-2025,Second Class,CUST1442,Robert Smith,Corporate,USA,Bangalore,P1005,Headphones,8,1780.81
33,ORD1466,17-08-2023,18-08-2023,Same Day,CUST2344,David Johnson,Corporate,UK,Toronto,P1004,Monitor,9,1689.19
34,ORD1056,29-04-2023,04-05-2023,First Class,CUST1156,Jane Miller,Corporate,UK,London,P1003,Mouse,7,3050.73
35,ORD2047,29-04-2023,06-05-2023,First Class,CUST1181,Anjali Sharma,Consumer,Germany,Bangalore,P1004,Monitor,6,2184.92
36,ORD2360,05-12-2023,15-12-2023,Standard Class,CUST2230,Amit Wilson,Home Office,Canada,London,P1006,Printer,7,3501.18
37,ORD2135,11-05-2023,15-05-2023,Same Day,CUST1712,Rahul Miller,Corporate,Canada,Mumbai,P1007,Router,5,1470.22
38,ORD1880,15-03-2025,25-03-2025,Same Day,CUST2809,Priya Davis,Home Office,Canada,Delhi,P1006,Printer,2,1454.74
39,ORD2359,10-10-2024,20-10-2024,Standard Class,CUST1962,Sneha Wilson,Consumer,USA,Delhi,P1006,Printer,1,278.76
40,ORD1973,17-09-2024,19-09-2024,Same Day,CUST3357,Sarah Sharma,Corporate,Canada,Bangalore,P1008,SSD,3,3297.49
41,ORD1011,07-02-2025,09-02-2025,Second Class,CUST1720,Chris Taylor,Corporate,India,Bangalore,P1007,Router,2,2309.49
42,ORD1951,14-11-2024,23-11-2024,Same Day,CUST3067,Robert Taylor,Corporate,USA,Berlin,P1006,Printer,8,1333
43,ORD1506,10-05-2025,15-05-2025,Second Class,CUST2124,Priya Johnson,Home Office,UK,Bangalore,P1008,SSD,5,1712.45
44,ORD2106,24-03-2023,27-03-2023,Second Class,CUST2568,Anjali Brown,Home Office,USA,Pune,P1003,Mouse,7,2067.62
45,ORD2111,22-04-2024,29-04-2024,Second Class,CUST2720,Robert Miller,Home Office,India,Toronto,P1001,Laptop,8,79.19
46,ORD1720,02-11-2023,09-11-2023,Second Class,CUST2999,Sarah Wilson,Corporate,Canada,Mumbai,P1007,Router,7,1713.84
47,ORD2390,28-03-2025,04-04-2025,Same Day,CUST1522,Rahul Taylor,Consumer,Canada,Mumbai,P1003,Mouse,2,3231.61
48,ORD1277,06-06-2025,14-06-2025,Standard Class,CUST2065,Robert Patel,Consumer,Canada,London,P1003,Mouse,6,3818.09
49,ORD1776,12-10-2023,19-10-2023,Standard Class,CUST2926,John Taylor,Consumer,UK,Bangalore,P1005,Headphones,2,3917.1
50,ORD2334,11-02-2023,12-02-2023,Second Class,CUST1083,Rahul Brown,Consumer,UnknownCountry,Berlin,P1004,Monitor,2,2841.65
51,ORD1446,21-04-2024,26-04-2024,Second Class,CUST3481,Rahul Johnson,Consumer,UK,Pune,P1006,Printer,10,177.11
52,ORD1638,12-08-2024,19-08-2024,Second Class,CUST1311,Rahul Davis,Consumer,UK,Pune,P1007,Router,10,3924.04
53,ORD1711,29-06-2024,06-07-2024,Standard Class,CUST3072,Sneha Patel,Consumer,Canada,Berlin,P1006,Printer,2,2195.94
